"epidemiological_week","date","order_for_place","state","city","city_ibge_code","place_type","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","new_confirmed","last_available_deaths","new_deaths","last_available_death_rate","estimated_population","is_last","is_repeated"
51,"2020-12-18",284,"RS",,43,"state",400537,"3506.41641",5721,8007,63,"0.02",11422973,"False","False"
51,"2020-12-18",282,"SC",,42,"state",453322,"6250.56015",5160,4652,54,"0.0103",7252502,"False","False"
51,"2020-12-18",280,"SE",,28,"state",101810,"4390.59143",104,2394,7,"0.0235",2318822,"False","False"
51,"2020-12-18",298,"SP",,35,"state",1371653,"2963.21617",9922,44878,197,"0.0327",46289333,"False","False"
51,"2020-12-18",276,"TO",,17,"state",87295,"5489.39536",324,1214,2,"0.0139",1590248,"False","False"
51,"2020-12-17",276,"AC",,12,"state",39166,"4378.68235",228,756,0,"0.0193",894470,"False","False"
51,"2020-12-17",285,"AL",,27,"state",100307,"2992.8603",296,2394,5,"0.0239",3351543,"False","False"
51,"2020-12-17",280,"AM",,13,"state",189812,"4511.04804",894,5049,13,"0.0266",4207714,"False","False"
51,"2020-12-17",273,"AP",,16,"state",64549,"7490.25555",246,864,3,"0.0134",861773,"False","False"
51,"2020-12-17",287,"BA",,29,"state",461026,"3087.78582",4920,8720,29,"0.0189",14930634,"False","False"
51,"2020-12-17",277,"CE",,23,"state",321891,"3503.72691",1206,9897,22,"0.0307",9187103,"False","False"
51,"2020-12-17",286,"DF",,53,"state",242299,"7930.84069",899,4123,16,17,3055149,"False","False"
51,"2020-12-17",288,"ES",,32,"state",223219,"5492.52323",2292,4696,33,21,4064052,"False","False"
51,"2020-12-17",281,"GO",,52,"state",299447,"4209.53562",1236,6651,20,"0.0222",7113540,"False","False"
51,"2020-12-17",273,"MA",,21,"state",198500,"2790.03817",353,4408,7,"0.0222",7114598,"False","False"
